,Unnamed: 0,tweet_id,label,text,n2v,bert_embeddings
0,0,551099691702956032,1,rip elly may clampett so sad to learn beverlyhillbillies star donna douglas has passed away ,"[-8.7801777e-03  2.1741940e-03 -8.6367835e-04 -9.3762940e-03
 -9.4750514e-03 -1.4369292e-03  4.4755735e-03  3.7176474e-03
 -6.5445737e-03 -6.9297771e-03 -5.0054728e-03 -2.2939018e-03
 -7.2633931e-03 -9.6626468e-03 -2.7498575e-03 -8.4069893e-03
 -6.0195299e-03 -5.7126055e-03 -2.3383119e-03 -1.7350502e-03
 -8.9885043e-03 -7.5799681e-04  8.2458667e-03  7.7625392e-03
 -7.2581884e-03 -3.6612977e-03  3.1291018e-03 -9.5990254e-03
  1.5167694e-03  6.5630092e-03  5.7916753e-03 -8.7826485e-03
 -4.5493538e-03 -8.1661772e-03  8.5328647e-05  9.3442565e-03
  6.0128830e-03  5.0848168e-03  5.0563249e-03 -3.2647259e-03
  9.6022310e-03 -7.3827286e-03 -7.3086275e-03 -2.2763161e-03
 -7.6796475e-04 -3.2599720e-03 -5.8214297e-04  7.4915020e-03
 -7.2994822e-04 -1.6474680e-03  2.7557318e-03 -8.4124086e-03
  7.8774691e-03  8.5651586e-03 -9.6445093e-03  2.4469420e-03
  9.9639492e-03 -7.6885740e-03 -6.9956938e-03 -7.7846968e-03
  8.4351320e-03 -7.1700016e-04  9.2053106e-03 -8.1793107e-03
  3.7604885e-03  2.6224589e-03  7.3914632e-04  2.3473254e-03
 -7.5029447e-03 -9.4081583e-03  2.3633365e-03  6.1807060e-03
  8.0125099e-03  5.8196690e-03 -7.9020369e-04  8.3693340e-03
 -9.4121750e-03  3.4340434e-03  2.6084090e-04  3.9041371e-03
  7.4158562e-03 -6.7378646e-03  5.6391335e-03 -9.5365969e-03
 -8.4181235e-04 -8.7288804e-03 -5.0874949e-03  9.3571637e-03
 -1.8601939e-03  2.9205193e-03  9.1414656e-03  8.9733740e-03
 -8.2561281e-03 -3.0371242e-03  9.9477703e-03  5.1131262e-03
 -1.5884171e-03 -8.7751606e-03  2.9940165e-03 -6.7025768e-03]","tf.Tensor(
[[-0.344007   -0.00991694 -0.46722278 ... -0.12849551  0.5487912
   0.34615248]
 [-0.09935454 -0.25185406  0.46804982 ...  0.03377745  0.7521771
  -0.6381941 ]
 [-0.7916222  -0.17727534  0.85002464 ... -0.6049651   0.06762245
  -1.1969728 ]
 ...
 [-0.24703434  0.3613943   0.5193535  ...  0.07915522  0.11879238
  -0.15216607]
 [-0.41717827  0.29518202  0.48470792 ...  0.04327351 -0.03564952
  -0.1850953 ]
 [-0.64898574 -0.2022598  -0.15617569 ...  0.22287294  0.6629013
  -0.53425115]], shape=(33, 768), dtype=float32)"
1,1,514106273852174337,1,just in missing afghan soldiers found trying to enter canada near niagara falls ,"[ 1.5201155e-02  6.4101256e-03 -1.6639438e-02 -9.7036092e-03
  6.9406405e-03  1.4440559e-02 -9.6775722e-03 -1.5919708e-02
  8.4319366e-03 -4.1612741e-03 -2.0906582e-02  5.3245639e-03
  2.7351638e-02 -1.7441064e-02  1.7547354e-02 -5.9546130e-03
 -2.1123899e-02 -8.9752553e-03  3.1027144e-02  7.2826063e-03
 -1.3957374e-02  5.7387156e-03 -2.9035218e-02  2.3149373e-02
 -1.8925358e-02  1.4405083e-02 -6.4880744e-04 -7.0223035e-03
  1.6830551e-02 -2.0917469e-05 -9.6379202e-03  1.2037539e-02
 -2.6062377e-02  3.2514860e-03 -7.5178035e-04  2.5143055e-02
 -1.3732227e-02 -2.4851765e-03 -3.8746800e-02 -1.9375103e-03
  8.8164527e-03 -5.3825229e-03  2.3146944e-02  6.4025936e-03
  1.8996868e-02 -2.2880023e-02 -7.8860589e-04 -2.0746879e-02
 -1.1399697e-02 -2.6666416e-02  1.5432009e-02 -3.8273653e-03
 -7.4600978e-03 -8.2614357e-03 -9.8345391e-03  6.6052987e-03
 -2.7882025e-02 -6.5593678e-03  1.0841588e-02 -3.2290064e-02
  8.9577511e-03 -1.7710464e-02  3.1382333e-02  3.3157609e-02
  2.0850953e-03  6.4493605e-04 -2.2144727e-02  1.3252372e-02
 -2.2080939e-02 -1.6927409e-03 -6.9320938e-03  1.2380694e-02
 -5.7546305e-04  6.6231415e-03 -9.5028738e-03  1.8341256e-02
 -8.6649237e-03  8.8331643e-03 -2.7987431e-03  2.6512960e-02
 -4.8232726e-03 -1.7283836e-02 -1.1914577e-02 -5.4804962e-03
  4.9210940e-03  9.8772196e-04  1.1594062e-02  3.2645922e-02
  1.6844945e-02 -1.3659808e-03  5.1327613e-03  2.5639378e-03
 -2.0615481e-02  1.8571619e-02 -1.9869921e-03 -2.9640049e-02
  7.3789195e-03  1.4806497e-02  1.1542829e-02 -1.7142504e-02]","tf.Tensor(
[[-0.51242435  0.0095816  -0.06976882 ... -0.5758346   0.3181917
   0.17358227]
 [-0.16660659 -0.35375312 -0.16947293 ... -0.4449793   0.9116934
   0.07872946]
 [-0.45957106 -0.35612786 -0.18851526 ... -0.52386355  0.08566988
   0.17207527]
 ...
 [ 0.14762108 -0.19679222 -0.05081509 ... -0.08744589  0.12155844
   0.11346784]
 [ 0.11729975 -0.101068   -0.037339   ... -0.08302847  0.05934271
   0.10574227]
 [ 0.14885463 -0.09556184  0.00906648 ... -0.00322682 -0.05387434
   0.07934632]], shape=(33, 768), dtype=float32)"
2,2,495366618818830336,0,riphulkhogan my heart is ripping like your shirt wwell miss you,"[-1.60820745e-02  1.22795592e-03  8.84042960e-03 -1.35517388e-03
 -1.47867193e-02 -1.42830024e-02  1.47379832e-02  1.42465681e-02
 -9.19795409e-03 -1.59312226e-02  2.79149303e-04 -4.01194394e-03
 -1.86896920e-02 -4.33559250e-03 -1.02125611e-02 -4.85167233e-03
 -3.16171767e-03 -1.23739140e-02 -8.45059566e-03 -7.74457539e-03
  1.57826958e-04  5.34011377e-03  2.20641419e-02  7.44536519e-03
 -1.23939328e-02  9.16835779e-05 -7.08026579e-03 -5.50924754e-03
  1.18772616e-03  8.46710149e-03  5.02832280e-03 -5.40921418e-03
  5.94330905e-03 -1.38389822e-02  6.01983862e-03  1.52515480e-02
  1.18629187e-02  4.07175301e-03  6.15803525e-03 -6.83039718e-04
  1.56504996e-02 -1.22933956e-02 -1.68340746e-02 -1.05150994e-02
 -3.77439964e-03 -5.73093817e-03 -2.52681202e-03  1.14102075e-02
  4.59790509e-03  3.07158148e-03  2.41633947e-03 -1.18261259e-02
  1.11933853e-02  1.79943759e-02 -3.23823164e-03  7.25497492e-03
  1.84783917e-02 -7.58388452e-03 -6.98918663e-03  8.76693230e-04
  1.98868173e-03  1.56014052e-03  4.40007821e-03 -2.06444021e-02
  7.63948588e-03  6.33921148e-03  3.32987821e-03 -1.33369642e-03
 -4.52901889e-03 -1.25444569e-02  8.56033585e-04  4.49540699e-03
  9.69791133e-03  6.30118325e-03  3.73421633e-03  2.54644547e-03
 -1.65997390e-02  1.67991931e-03  1.25818508e-04 -1.09169527e-03
  3.34429718e-03  5.20767272e-03  1.63705144e-02 -7.41773285e-03
 -2.82786204e-03 -7.25188758e-03  2.37615709e-03  8.54893308e-03
 -7.99278356e-03  5.18202502e-03  2.06962787e-02  7.59251369e-03
 -1.46724768e-02 -4.44483990e-03  1.29656708e-02  4.56233555e-03
 -4.28535976e-03 -1.57860089e-02 -2.90279952e-03  2.58320128e-03]","tf.Tensor(
[[-0.06793369  0.18225722  0.07828966 ... -0.3536485   0.09839407
   0.15532474]
 [ 0.25350142  0.08669089  0.36593488 ...  0.01783483  0.73820347
  -0.8140875 ]
 [ 0.02160492  0.31646463  0.31650132 ... -0.27479723 -0.14307807
  -0.53290415]
 ...
 [-0.05472229  0.5065255   0.45532346 ... -0.14942454  0.05878581
  -0.01914345]
 [-0.24619803  0.01245466  0.46574706 ...  0.29927212  0.28075755
  -0.17148514]
 [-0.26278996  0.07054311  0.49169993 ...  0.09088963 -0.13779362
   0.06421625]], shape=(33, 768), dtype=float32)"
3,3,532206910796468224,0,a chickfila manager allegedly banned this hilarious list of slang words ,"[-0.00515725 -0.00664979 -0.00780128  0.00830187 -0.00200277 -0.00690864
 -0.00414967  0.0051953  -0.0029074  -0.0038007   0.00162417 -0.00283857
 -0.00159158  0.00107267 -0.00296872  0.00850083  0.00392694 -0.01001186
  0.00627663 -0.00684569  0.00080646  0.00441318 -0.00507126 -0.0020914
  0.00810445 -0.00426333 -0.00766886  0.009283   -0.00214376 -0.00473045
  0.00860596  0.00427434  0.00436461  0.00927421 -0.00848947  0.00527499
  0.00210227  0.00420415  0.00171229  0.00446974  0.00451397  0.00608425
 -0.00322464 -0.00455995 -0.00043102  0.00252898 -0.00327472  0.00607581
  0.00417612  0.00780083  0.00258422  0.0081445  -0.00136592  0.00808785
  0.00369454 -0.0080689  -0.00393455 -0.00251004  0.00486678 -0.00087034
 -0.00282445  0.00785071  0.00936155 -0.00161278 -0.00517649 -0.00467043
 -0.00484032 -0.00960072  0.00134359 -0.00423073  0.00253415  0.00568195
 -0.00406344 -0.00961467  0.00156561 -0.00666602  0.00252799 -0.00377637
  0.00710246  0.00065624  0.00357734 -0.00277252 -0.00171295  0.00767733
  0.00139977 -0.0058625  -0.00782305  0.00125887  0.0064808   0.00557854
 -0.00896458  0.00864293  0.00404594  0.00745539  0.00979283 -0.00729937
 -0.00904074  0.00583127  0.00942084  0.00348513]","tf.Tensor(
[[ 0.17015028  0.19315642  0.01270899 ... -0.17524013  0.14109327
   0.46716645]
 [ 0.04475439 -0.03010336 -0.02961103 ... -0.3985407  -0.14038908
   0.39064166]
 [ 0.34511176 -1.0274951   0.8918671  ...  0.15682161  0.11789733
  -0.19524124]
 ...
 [ 0.1924395  -0.19505747  0.2877206  ... -0.17513785 -0.01137025
   0.23886205]
 [ 0.20947745 -0.20206864  0.24952623 ... -0.13492785  0.00769366
   0.24609198]
 [ 0.21869636 -0.16207604  0.190529   ... -0.10914281 -0.00982977
   0.28849873]], shape=(33, 768), dtype=float32)"
4,4,560187970389819392,0,islamic tribunal using sharia law in texas has been confirmed breitbartnews a4a ,"[-0.01440255  0.20408918  0.09535199  0.06521747  0.00067082 -0.12029268
  0.15412028  0.20433357 -0.12656148 -0.20253615  0.07365403 -0.11963236
  0.09121282  0.01364454  0.1179816  -0.04910957  0.12182841 -0.01480164
 -0.1416333  -0.31361625  0.01679957 -0.01888008  0.08424158 -0.07425134
 -0.144636    0.041342   -0.11777392 -0.01045719  0.04966703  0.07823458
  0.06222315 -0.12089577  0.03080503 -0.1228879  -0.02739041  0.10796361
  0.04979758 -0.01985565 -0.05037659 -0.11609132  0.09206545 -0.10830125
  0.01370757  0.13204217  0.10998195 -0.09328254 -0.05705952 -0.09708755
  0.07729698 -0.01361496  0.04481139 -0.12992357 -0.02579724 -0.03364318
 -0.11544283  0.05459845  0.09390769  0.01752153 -0.00339716 -0.04407242
 -0.00150563 -0.0535113   0.1284571   0.04702249 -0.11930557  0.24183165
  0.04284396  0.15425861 -0.1925375   0.03954094 -0.03014955  0.11054686
  0.15972054  0.11052596  0.08358432  0.10854828  0.01265355  0.12711878
 -0.03985189 -0.0489588  -0.18843786 -0.01335309  0.01148719  0.04574544
  0.06544615 -0.04993682  0.09687054  0.02456789  0.11293607  0.04844958
  0.11317527  0.00147823 -0.05022159  0.03388282  0.20639396 -0.03704365
  0.05771741 -0.0579743   0.06647572  0.02633511]","tf.Tensor(
[[-0.54136187  0.16855417 -0.36195344 ... -0.09317313  0.5932622
   0.02156997]
 [ 0.07315919 -0.08504933 -0.1715633  ... -0.5933641  -0.26373106
   0.03220322]
 [ 0.11774068 -0.4216133   0.20363167 ... -0.4476727   0.44155073
  -0.77818537]
 ...
 [-0.02196266 -0.04811125  0.18390173 ...  0.25577837  0.26516074
  -0.0574579 ]
 [-0.15132755 -0.03025101  0.23318844 ...  0.18081772  0.3145965
  -0.03773896]
 [ 0.07377035  0.04984776  0.15358162 ...  0.19246072  0.21298939
  -0.0163899 ]], shape=(33, 768), dtype=float32)"
5,5,531568534066057217,0,alpha male rt marc_leibowitz photo of vladimir putins motorcade posted without comment ,"[ 9.7363368e-03  7.2121271e-03  1.3596970e-03 -3.1699918e-03
 -4.4671327e-04  2.6285954e-04 -6.1899750e-03  6.1498345e-03
  2.2989481e-03  3.6494203e-03 -7.5606387e-03  8.5241282e-03
  4.9970718e-04 -3.6575733e-05 -9.1963038e-03  4.0226993e-03
  6.9145421e-03  7.3121078e-03 -6.6910982e-03 -8.1570297e-03
 -5.4105460e-03 -5.2170880e-04 -8.7299403e-03 -8.4676035e-03
 -1.9291330e-03  1.1698448e-03 -9.7513627e-03 -4.0088287e-03
  6.2356947e-04  6.9381339e-03  1.8994053e-03 -5.9585861e-04
 -7.5406986e-03 -6.9577643e-03 -8.6903939e-04  7.8076357e-03
  5.6145340e-03 -1.6728240e-03  1.0610014e-03 -1.0010943e-02
 -1.4284933e-03 -4.8566819e-03  5.8693960e-03 -2.3868929e-03
 -4.6379855e-03 -9.7642252e-03 -1.5739604e-03 -7.4173701e-03
 -1.4948872e-03 -4.3193325e-03 -2.2892086e-03 -3.3545867e-03
 -8.4153926e-03 -1.3123942e-03  1.6365026e-03 -4.1697593e-03
 -7.6440223e-03 -3.6342193e-03 -9.2887636e-03 -6.6471024e-04
  5.8312742e-03 -3.0527238e-03  3.3222511e-03  4.9198549e-03
  8.3145332e-03  5.8646332e-03  9.7088199e-03 -9.5801866e-03
 -8.3659301e-03 -6.5865852e-03 -7.6085082e-03 -7.8742001e-03
 -7.8904536e-03 -3.0587814e-03  1.6478287e-03 -2.9951313e-03
 -8.6991927e-03  5.0805267e-03  6.6425663e-04  4.6438104e-03
  7.2873924e-03  7.7221761e-03 -1.0597939e-03  4.0590526e-03
 -5.4360712e-03  1.9863243e-03  4.7461395e-03  1.0148282e-02
 -3.0471168e-03  2.9467223e-03 -5.5778543e-03 -1.9781864e-03
  8.3022695e-03 -3.8075862e-03 -1.1653083e-03 -9.2955464e-03
 -9.4896834e-03  8.9839464e-03 -5.4273978e-03  5.0336495e-03]","tf.Tensor(
[[-0.6845009  -0.03641425 -0.30390304 ... -0.20223004  0.47022802
   0.265358  ]
 [-0.2882472   0.28329638  0.14701813 ...  0.25349593  0.642645
   0.22428647]
 [ 0.2745952   0.21077405  0.5745909  ... -0.24094415  0.1191591
  -0.24188381]
 ...
 [ 0.0279741  -0.16821072  0.50695527 ... -0.03172892  0.30681214
   0.00647522]
 [ 0.0340515  -0.17542815  0.48490763 ... -0.02003764  0.32598206
   0.01722166]
 [-0.1085788  -0.080398    0.41368747 ... -0.01800106  0.26646906
  -0.04882154]], shape=(33, 768), dtype=float32)"
6,6,489829414704648192,0,เผยกบฏยเครนอาจเขาใจผดคดวา mh17 เปนเครองบนทหารยเครนรกลำ 14 กคกเพงยงตกไปลำ ,"[-2.2223499e-03 -5.8374428e-03  7.5350087e-03 -7.5932601e-03
 -8.8838199e-03 -2.1512536e-03 -8.5566752e-03  1.1634256e-03
  1.8598649e-03 -3.0617821e-03 -6.6905138e-03 -7.1539194e-04
 -8.8507548e-04  4.0600258e-03  8.4744915e-03  6.1671343e-03
  9.0633193e-03 -9.3207136e-03  9.8350476e-03 -2.8894071e-03
  9.4967848e-03  2.4477625e-03  3.6696624e-03 -1.0095603e-02
 -9.7950445e-03  9.3718441e-03 -3.4289616e-03  2.8332949e-03
  6.7226524e-03 -1.4901000e-04  9.8267300e-03 -1.0294187e-03
 -9.6819792e-03 -7.7204993e-03 -1.1264645e-03 -8.8117979e-03
  7.7902498e-03  3.7649397e-03 -9.3510468e-03  8.3299354e-03
  9.2661316e-03  5.9662904e-03  7.1926014e-03 -9.7414413e-03
  8.4516016e-04 -9.3498593e-03 -3.7933900e-03  6.5288114e-05
 -4.2489092e-04  1.9382965e-03  3.4476395e-03  2.0290310e-03
  5.0238739e-03  8.0895359e-03 -5.9634768e-03  8.1330789e-03
  5.9718573e-03  1.0134240e-02  4.4011264e-03 -3.4528773e-03
 -3.8652518e-03 -6.2045542e-04 -1.6864820e-03  1.0325729e-02
  9.2699862e-04  4.4845003e-03  3.7773037e-03 -9.1046067e-03
  6.6983826e-03  8.9435568e-03 -1.7619201e-03  2.4797015e-03
 -6.2437039e-03 -6.5241558e-03  8.6656325e-03 -3.3079775e-03
  6.9179307e-03  1.2559070e-03 -2.3487287e-03  3.3721915e-03
 -4.4305916e-03 -1.7943550e-03  8.7252882e-04  4.9427650e-03
 -1.4702046e-03  9.0567284e-04 -8.0594532e-03  1.0286870e-02
 -8.6789727e-03  7.5712632e-03  4.4708597e-03 -7.2937035e-03
 -5.8210064e-03 -7.8924932e-03 -5.0235079e-03  7.3192813e-03
  9.8996572e-03  1.9628718e-03  6.9477968e-04  1.0101545e-02]","tf.Tensor(
[[-0.29017988  0.5075652  -0.14110428 ... -0.45403498  0.6636938
   0.6129142 ]
 [ 0.05864869  0.4802463   0.50723    ... -0.24211198  0.7997335
   0.31093287]
 [ 0.492932    0.08031679  0.752638   ... -0.18732524  0.49385083
   0.07501432]
 ...
 [-0.03175212  0.2401561   0.30250084 ...  0.04248434  0.29175013
  -0.25941107]
 [ 0.00420596  0.3358598   0.24657908 ...  0.06470306  0.40326154
  -0.17917351]
 [-0.05667836  0.2566322   0.3369085  ...  0.04814189  0.38184577
  -0.21960142]], shape=(33, 768), dtype=float32)"
7,7,520284654755381249,0,report amazon plans to open its first physical store in new york ,"[ 9.1415881e-05  3.0861767e-03 -6.8056989e-03 -1.3755528e-03
  7.6846089e-03  7.3456969e-03 -3.6744396e-03  2.6704071e-03
 -8.3258366e-03  6.1948709e-03 -4.6444070e-03 -3.1933556e-03
  9.3254410e-03  8.7483437e-04  7.5121378e-03 -6.0982904e-03
  5.1699118e-03  9.9421749e-03 -8.4715653e-03 -5.1556099e-03
 -7.0874537e-03 -4.8591131e-03 -3.7929313e-03 -8.5613793e-03
  7.9590725e-03 -4.8495890e-03  8.4266923e-03  5.2785468e-03
 -6.5593398e-03  3.9715325e-03  5.4675797e-03 -7.4553620e-03
 -7.4154460e-03 -2.4724852e-03 -8.6557036e-03 -1.5629807e-03
 -4.0362542e-04  3.2952093e-03  1.4440306e-03 -8.7702455e-04
 -5.5803154e-03  1.7260069e-03 -9.0460543e-04  6.8096942e-03
  3.9816280e-03  4.5349449e-03  1.4259531e-03 -2.7222608e-03
 -4.3769684e-03 -1.0274043e-03  1.4401475e-03 -2.6682199e-03
 -7.0771920e-03 -7.8133922e-03 -9.1361655e-03 -5.9316512e-03
 -1.8277103e-03 -4.3255105e-03 -6.4565912e-03 -3.7009257e-03
  4.2823507e-03 -3.7515613e-03  8.3931834e-03  1.5298403e-03
 -7.2479877e-03  9.4552273e-03  7.6438091e-03  5.5137617e-03
 -6.8676025e-03  5.8243894e-03  4.0256218e-03  5.1914188e-03
  4.2871651e-03  1.9438684e-03 -3.1633005e-03  8.3787497e-03
  9.6422993e-03  3.7946035e-03 -2.8523600e-03  8.1884846e-06
  1.2072413e-03 -8.4595056e-03 -8.2391351e-03 -2.1357260e-04
  1.2387428e-03 -5.7378993e-03 -4.7272779e-03 -7.3703062e-03
  8.3595272e-03  1.3348430e-04 -4.5174155e-03  5.7239286e-03
  9.1969324e-03 -4.1180020e-03  7.9830736e-03  5.4082973e-03
  5.9020920e-03  5.1804405e-04  8.2492400e-03 -7.0313322e-03]","tf.Tensor(
[[-1.5944277e-01 -5.6323715e-02 -1.9148842e-02 ... -6.1527056e-01
   2.6859391e-01  2.4728048e-01]
 [ 9.7916543e-01 -1.4332727e-01  3.7970206e-01 ... -4.3986827e-01
   5.7817221e-01 -3.6797002e-01]
 [ 3.4520790e-01 -2.7022961e-01  1.1145614e+00 ... -9.8265372e-03
   3.2480812e-01 -1.3264781e-01]
 ...
 [ 8.3408028e-02 -1.1922768e-01  4.6185845e-01 ...  1.9110030e-01
   1.0263607e-01 -9.5785018e-03]
 [-5.8275975e-02 -6.8653531e-02  5.5393147e-01 ...  1.3035357e-01
   2.6460892e-01 -8.4794447e-02]
 [-2.7461860e-02 -3.7985429e-01  6.3357419e-01 ...  1.1602761e-01
   2.5284973e-01  5.4837205e-05]], shape=(33, 768), dtype=float32)"
8,8,565999191982616577,1,lets let our friends know that a state senator in south carolina stated women are a lesser cut of meat chewonthis ,"[ 8.4049396e-05  3.0964431e-03 -6.8322048e-03 -1.3530096e-03
  7.6836240e-03  7.3469076e-03 -3.6838311e-03  2.6886605e-03
 -8.3439294e-03  6.2078331e-03 -4.6501602e-03 -3.2052186e-03
  9.3067093e-03  8.8657445e-04  7.5147441e-03 -6.0692010e-03
  5.1514800e-03  9.9301003e-03 -8.4641399e-03 -5.2008503e-03
 -7.0775882e-03 -4.8526553e-03 -3.7551953e-03 -8.5702352e-03
  7.9653533e-03 -4.8497287e-03  8.4531987e-03  5.3065899e-03
 -6.5639135e-03  3.9758040e-03  5.5034845e-03 -7.4683852e-03
 -7.3899454e-03 -2.4714707e-03 -8.6702956e-03 -1.5652580e-03
 -3.8068122e-04  3.2856476e-03  1.4485047e-03 -8.8782102e-04
 -5.6045665e-03  1.7378404e-03 -9.3793200e-04  6.8222834e-03
  3.9831907e-03  4.5386860e-03  1.4487404e-03 -2.7096551e-03
 -4.3687620e-03 -1.0428511e-03  1.4549241e-03 -2.6526004e-03
 -7.0782658e-03 -7.7994238e-03 -9.1520585e-03 -5.9706708e-03
 -1.8526289e-03 -4.3555181e-03 -6.4679300e-03 -3.7092064e-03
  4.3002847e-03 -3.7267534e-03  8.4074158e-03  1.5380996e-03
 -7.2746933e-03  9.4593894e-03  7.6375832e-03  5.5283317e-03
 -6.8846322e-03  5.8416994e-03  4.0151556e-03  5.2284510e-03
  4.2446996e-03  1.9441115e-03 -3.1643135e-03  8.3930083e-03
  9.6153626e-03  3.7888202e-03 -2.8387008e-03 -4.5037109e-06
  1.2133094e-03 -8.4927185e-03 -8.2218358e-03 -2.2672860e-04
  1.2415975e-03 -5.7617314e-03 -4.7399825e-03 -7.3675681e-03
  8.3513493e-03  1.2067714e-04 -4.5033186e-03  5.7219150e-03
  9.2118960e-03 -4.1132187e-03  8.0216527e-03  5.3744698e-03
  5.8874390e-03  5.1595923e-04  8.2697859e-03 -7.0317802e-03]","tf.Tensor(
[[ 0.24157158  0.11866138 -0.08001725 ... -0.10854571  0.30220306
   0.36635014]
 [ 1.2933707   0.06496521 -0.24471511 ...  0.20889084  0.92555493
   0.10091907]
 [ 1.1180654  -0.21807791  0.54049444 ...  0.42528617  0.25483984
  -0.20898007]
 ...
 [ 0.7407896   0.06068164  0.32075348 ...  0.22146589  0.13028179
  -0.03517573]
 [ 0.66541183  0.045142    0.28241473 ...  0.1349589   0.13473608
  -0.09726125]
 [ 0.6433857  -0.01453064  0.32718953 ...  0.06593465  0.11052553
  -0.30919075]], shape=(33, 768), dtype=float32)"
9,9,554343513887105024,0,a traditional beer that authorities believe was poisoned with crocodile bile has killed 56 people in mozambique ,"[-0.00552151  0.0011576  -0.01177967 -0.00621424  0.00474755  0.01035285
 -0.00116518 -0.00118212 -0.00418841  0.0107912  -0.00802974  0.00687944
 -0.00486665 -0.00221186 -0.00459213 -0.00702593 -0.00523978  0.00349949
  0.00930762 -0.0043128  -0.00277103 -0.00873918  0.00523419  0.01273777
 -0.00747853  0.00214249  0.00123343  0.00251381 -0.00616927 -0.00071591
  0.00685498  0.00443959 -0.00022328 -0.00563661  0.00803396 -0.0062982
 -0.00851334  0.00302804 -0.00467525 -0.00071951  0.00257656 -0.0067771
 -0.00528783  0.01166831  0.00748883 -0.01056002  0.0035852  -0.00182864
  0.00331559 -0.01092801  0.00538805  0.00621037  0.01359947 -0.00674299
 -0.00395145 -0.00849431 -0.01469553 -0.00985494  0.00019484 -0.01180134
  0.00872904 -0.00937384  0.00697414  0.00378738 -0.00529626 -0.00296337
  0.00877352  0.01123766 -0.00745759  0.00647592 -0.00673169  0.00789775
 -0.00429356  0.00434328  0.00296824  0.00987221 -0.0025579   0.0105718
  0.00612982 -0.00503809 -0.00558815 -0.01123424  0.00067755 -0.00179682
 -0.00593923 -0.00916825  0.00727731  0.00734009 -0.0093447  -0.00622131
  0.00363639 -0.00407894  0.00531153 -0.00149316  0.00281968 -0.01081798
  0.00854308  0.00794116  0.00427923 -0.00034237]","tf.Tensor(
[[-3.39913815e-01  2.42751926e-01 -4.24446464e-01 ... -4.47716713e-01
   2.42208689e-02  2.01177478e-01]
 [-4.45677727e-01  4.63979125e-01 -8.64696085e-01 ... -7.20759094e-01
  -1.73808292e-01  4.01398897e-01]
 [ 3.11191976e-01  5.18269777e-01 -6.61717415e-01 ... -3.67496938e-01
  -8.28444436e-02 -2.34714761e-01]
 ...
 [ 2.74881244e-01  6.93635345e-02  1.07167318e-01 ... -1.39792919e-01
  -6.87135756e-03  4.03179899e-02]
 [ 1.31312296e-01 -6.81406111e-02  9.47569981e-02 ... -7.70760179e-02
  -6.80278987e-04  1.06406845e-01]
 [ 3.48156035e-01 -7.43941367e-02  2.55026907e-01 ... -6.91565573e-02
   1.15061015e-01  1.73728496e-01]], shape=(33, 768), dtype=float32)"
